order,where_it_appears,slot,photo_id,phase,crop,export_width,source_folder,notes
001,"Home 1. Hero",hero.webp,,1,16:9,2400,"10 — Multi-Service Builds","The one that matters most. Headline sits bottom left over a dark scrim, so keep the left third quiet."
002,"Home 2. Disciplines, card 1",svc-blackout.webp,,1,4:5,760,"04 — Blackout & Chrome Delete","Also used on the services index and as a Related card."
003,"Home 2. Disciplines, card 2",svc-ppf.webp,,1,4:5,760,"02 — Paint Protection Film PPF","Also used on the services index and as a Related card."
004,"Home 2. Disciplines, card 3",svc-wraps.webp,,1,4:5,760,"01 — Vehicle Wraps","Also used on the services index and as a Related card."
005,"Home 2. Disciplines, card 4",svc-wheels.webp,,1,4:5,760,"05 — Wheels & Tires","Also used on the services index and as a Related card."
006,"Home 2. Disciplines, card 5",svc-interior.webp,,1,4:5,760,"03 — Custom Interiors","Also used on the services index and as a Related card."
007,"Home 3. Materials, frame 1",mat-metal.webp,,1,1:1,760,"06 — Paint & Body","Close detail, not a whole car. Hand-finished panel."
008,"Home 3. Materials, frame 2",mat-stitch.webp,,1,1:1,760,"03 — Custom Interiors","Close detail. Leather stitching."
009,"Home 3. Materials, frame 3",mat-fitment.webp,,1,1:1,760,"05 — Wheels & Tires","Close detail. Wheel and brake."
010,"Home 4. Featured builds, card 1",build-suv.webp,,1,16:9,760,"Featured Builds","G-Class. Whole vehicle, environmental."
011,"Home 4. Featured builds, card 2",build-sedan.webp,,1,16:9,760,"Featured Builds","M5. Whole vehicle, environmental."
012,"Home 4. Featured builds, card 3",build-truck.webp,,1,16:9,760,"Featured Builds","F-150. Whole vehicle, environmental."
013,"Home 5. Shop wheels, card 1",wheel-1.webp,,1,1:1,560,"05 — Wheels & Tires","Sits on a white frame, so a clean or plain background reads best."
014,"Home 5. Shop wheels, card 2",wheel-2.webp,,1,1:1,560,"05 — Wheels & Tires","White frame, plain background."
015,"Home 5. Shop wheels, card 3",wheel-3.webp,,1,1:1,560,"05 — Wheels & Tires","White frame, plain background."
016,"Home 5. Shop wheels, card 4",wheel-4.webp,,1,1:1,560,"05 — Wheels & Tires","White frame, plain background."
017,"Services index, card 6",svc-suspension.webp,,1,4:5,760,"08 — Suspension","MISSING TODAY. This card is a broken link until the file lands."
018,"Services index, card 7",svc-paint-body.webp,,1,4:5,760,"06 — Paint & Body","MISSING TODAY. This card is a broken link until the file lands."
019,"Services index, card 8",svc-lighting.webp,,1,4:5,760,"NO FOLDER SUPPLIED","MISSING TODAY, and Liz sent no lighting photography at all."
020,"Services index, card 9",svc-audio.webp,,1,4:5,760,"07 — Audio","MISSING TODAY. This card is a broken link until the file lands."
021,"Services index, card 10",svc-truck-accessories.webp,,1,4:5,760,"09 — Truck Accessories","MISSING TODAY. This card is a broken link until the file lands."
